arquivo,idade_real,idade_pred,erro_idade_signed,erro_idade_abs,genero_real,genero_pred,etnia_real,etnia_pred
1_0_2_20161219161843718.jpg.chip.jpg,1,59,58,58,Homem,Homem,Asiático,Asiático
5_0_1_20170117193745507.jpg.chip.jpg,5,49,44,44,Homem,Homem,Negro,Negro
1_0_3_20161220220358441.jpg.chip.jpg,1,44,43,43,Homem,Mulher,Indiano,Latino/Hispânico
1_1_0_20170117192722435.jpg.chip.jpg,1,43,42,42,Mulher,Homem,Branco,Branco
1_0_2_20161219154024292.jpg.chip.jpg,1,43,42,42,Homem,Mulher,Asiático,Asiático
1_0_2_20161219222046607.jpg.chip.jpg,1,42,41,41,Homem,Homem,Asiático,Asiático
1_0_1_20170110213707879.jpg.chip.jpg,1,42,41,41,Homem,Homem,Negro,Latino/Hispânico
3_1_0_20170109192304730.jpg.chip.jpg,3,43,40,40,Mulher,Homem,Branco,Asiático
1_0_3_20161219230004880.jpg.chip.jpg,1,41,40,40,Homem,Homem,Indiano,Indiano
2_1_0_20170109190516025.jpg.chip.jpg,2,41,39,39,Mulher,Mulher,Branco,Asiático
4_0_0_20170110213211374.jpg.chip.jpg,4,43,39,39,Homem,Mulher,Branco,Branco
1_0_2_20161219204010237.jpg.chip.jpg,1,40,39,39,Homem,Homem,Asiático,Asiático
1_1_0_20170109193014933.jpg.chip.jpg,1,40,39,39,Mulher,Mulher,Branco,Asiático
1_0_4_20161221192552629.jpg.chip.jpg,1,39,38,38,Homem,Mulher,Outros,Branco
1_1_2_20161219162021366.jpg.chip.jpg,1,39,38,38,Mulher,Mulher,Asiático,Branco
4_1_2_20161219141808855.jpg.chip.jpg,4,42,38,38,Mulher,Homem,Asiático,Branco
1_0_2_20161219203156557.jpg.chip.jpg,1,39,38,38,Homem,Homem,Asiático,Branco
1_1_3_20161219230626530.jpg.chip.jpg,1,39,38,38,Mulher,Mulher,Indiano,Latino/Hispânico
1_0_4_20161221200034160.jpg.chip.jpg,1,39,38,38,Homem,Homem,Outros,Branco
1_0_0_20170109192819417.jpg.chip.jpg,1,39,38,38,Homem,Mulher,Branco,Branco
